name,university,cutOffMark,popularity,type,location,description,duration
Grado en Biología Humana,Universitat Pompeu Fabra,12.5,90,Carrera Universitaria,Barcelona,"Programa que combina biología y medicina, enfocándose en la comprensión del cuerpo humano en salud y enfermedad.",4 años
Grado en Biología Sanitaria,Universidad de Alcalá,11.8,85,Carrera Universitaria,Alcalá de Henares,"Ofrece formación en biología aplicada a la salud, cubriendo áreas como el cáncer, células madre y neurobiología.",4 años
Grado en Ingeniería Biomédica,Universidad Politécnica de Valencia,12.0,80,Carrera Universitaria,Valencia,"Programa que integra ingeniería y biología para el desarrollo de tecnologías aplicadas a la medicina.",4 años
Grado en Biología Humana,Universidad Autónoma de Madrid,11.5,75,Carrera Universitaria,Madrid,"Formación en biología con énfasis en aspectos humanos, preparando para comprender el cuerpo en diversas condiciones.",4 años
Grado en Biología Sanitaria,Universidad de Alcalá,11.8,85,Carrera Universitaria,Alcalá de Henares,"Ofrece formación en biología aplicada a la salud, cubriendo áreas como el cáncer, células madre y neurobiología.",4 años
Grado en Ingeniería Biomédica,Universidad Politécnica de Valencia,12.0,80,Carrera Universitaria,Valencia,"Programa que integra ingeniería y biología para el desarrollo de tecnologías aplicadas a la medicina.",4 años
Grado en Biomedicina,Universidad de Sevilla,13.460,90,Carrera Universitaria,Sevilla,"Programa que ofrece una formación completa en biomedicina, combinando teoría y práctica en diversas disciplinas científicas.",4 años
Grado en Biomedicina,Universidad de Valladolid,12.874,85,Carrera Universitaria,Valladolid,"Ofrece una sólida formación en biomedicina, con énfasis en la investigación y el desarrollo de nuevas tecnologías.",4 años
Grado en Biomedicina,Universidad Autónoma de Madrid,12.500,80,Carrera Universitaria,Madrid,"Programa que proporciona una formación integral en biomedicina, combinando aspectos técnicos y científicos en el estudio de los seres vivos.",4 años
Grado en Biomedicina,Universidad de Barcelona,12.300,75,Carrera Universitaria,Barcelona,"Ofrece una formación completa en biomedicina, con enfoque en la innovación y la sostenibilidad en el estudio de los organismos.",4 años
Grado en Biomedicina,Universidad de Valencia,12.100,70,Carrera Universitaria,Valencia,"Programa que combina teoría y práctica en el estudio de la biomedicina, con énfasis en la investigación y el desarrollo de nuevas tecnologías.",4 años
Grado en Biomedicina Básica y Experimental,Universidad de Sevilla,13.460,80,Carrera Universitaria,Sevilla,Formación integral en biomedicina con énfasis en investigación básica y experimental,4 años
Grado en Biomedicina Básica y Experimental,Universidad de Valladolid,12.874,75,Carrera Universitaria,Valladolid,Enfoque en las bases biológicas de la salud y enfermedad con prácticas de laboratorio,4 años
